index,Artist,Chords,Label,Song
94,sergio-mendes,"Bmaj7,Bb7,Gsus4,Cm,F,C#m,Bbm,F#,G/B,Bbm7,G,F#m,C7,G#,D,Ebm/Db,Db,A/C#,Bm,Ebm,B,Cm7,C,Gb,Fm,Gm7,Eb,Ab,D#m,Abm7,F#7,F/A,Bb,Ab/C,G7,Fm7b5,Am,E,Em,A13,Gb2/Bb",advanced,never-gonna-let-you-go
95,harry-styles,"G,D7,C,Am,Em,D,Bm",intermediate,sweet-creature
96,blaze-foley,"Am7,Am,E7,Asus2",advanced,oval-room
97,weezer,"G/B,D6,D5,A5,D7,Cadd9,Bb5,E5,C5,Asus4,B5,G5,C#5,F5",advanced,only-in-dreams
98,bruno-mars,"A,Bb,Dm,C,Gm,F",novice,locked-out-of-heaven
99,system-of-a-down,"G/B,Dm,C,Am/E,Em/B,Am,F,E,Dsus2",intermediate,aerials
100,toploader,"G/B,Dm,G,C,Am",novice,dancing-in-the-moonlight
101,the-lumineers,"G,C,F,Am,Gsus2",intermediate,ophelia
102,nirvana,"A,D5,A5,B,G#5,Bb5,C,C5,Csus2,F#5,B5,Bm,F#",advanced,aneurysm
103,misc-cartoons,"G#7,F#m7,E7,C#m7/G#,C#m7,G,G#,B/A,Aadd9,Esus2/G#,B,C,E/B,A/E,Badd4,A,F#9,F#7,E/G#,A/B,F#/A#,E",advanced,tangled-when-will-my-life-begin
104,unknown,"C#/G#,E/Eb,F/C,G#m/F#,F,C/B,C#m,F#m/E,Bbm,F#/F,F#,D6,G,E/D#,F#m,D,C#/B,Bm,C#/F,A/C#,B,Esus2,Gdim,C,D/F#,F#+5,F#/Bb,A7/G,B/F#,G#m,Em/D,Dsus2,A,D/C#,C#,Bb,Dm,E/G#,A/G#,Bm/A,Am,E,Em,D/A,A7,F/Eb",advanced,unknown
105,ray-charles,"A,Edim7,F7,Bb,Ab/C,Bb/F,Bb7,Bb/D,Bb7/D,Bb7/F,Eb,C7,Gm7,F#dim7,Eb7,Fm7",advanced,america-the-beautiful
106,john-mark-mcmillan,"D,G,Em,C",novice,king-of-my-heart
107,bee-gees,"A,G,C,Am,E,F,D,Bm",intermediate,to-love-somebody
108,jim-croce,"Dm,Dm7,Am/G,G,G7,C,C/B,Am,F,C7,Em,E,F#m7-5,C/E",advanced,lovers-cross
109,john-denver,"A,G,C,Em,D,A7",intermediate,rocky-mountain-high
110,jp-saxe,"Dm7,G,C,F,Am,Em",novice,if-the-world-was-ending
111,jason-isbell,"D,G,Bm,Em",novice,cover-me-up
112,tyler-childers,"D,G,G7,C",intermediate,long-violent-history
113,sleeping-at-last,"G,C,F,Am,Em",novice,turning-page
114,misc-cartoons,"B7,G,C,Cmaj7,C7,Em,Bm",intermediate,adventure-time-im-just-your-problem
115,joni-mitchell,"Dm,Dm7,G,C,F,Am",intermediate,river
116,alan-menken,"Bmaj7,Amaj7,Dm7,G#7,F/C,F,G#maj7,C#m,Em7,F#m7,E7,Fm7,F#,G#m7,A#7,F7,Gsus,G,F#m,Gm,B#,C7,G#,D,B/A,D#7,Dm7/G,F6,B,F/E,Cm7,C,Am/E,Fmaj7,Fm,G#m,A/E,Dm/C,F/G,E/G,D#,A,A#m7,C#,G/F,C/G,D#/G,Fm7/A#,G7,Csus2,Am,E,Em,C/E,A#",advanced,out-there
117,john-mayer,"D,G,A,Bm",advanced,on-the-way-home
118,the-beatles,"B7,Dm7,G,C,Am,Em,D,Bm",novice,i-want-to-hold-your-hand
119,peter-sarstedt,"Dm,G,C,G7,F,Em",intermediate,where-do-you-go-to-my-lovely
120,billie-eilish,"B7,Am,Em",novice,bad-guy
121,tom-petty,"D5,A5,Asus,Asus4,Gsus2,D,G5",novice,free-fallin
122,bethel-music,"G/B,G,C,Gsus4,D/F#,Em,D",novice,goodness-of-god
123,john-mayer,"A,E,C#m,B",advanced,im-on-fire
124,elvis-presley,"B11b9/E,A7/E,Em7,F,Bm11/E,Dm/F,G/E,Fmaj/C,G/B,B7,G,Bm11,Fmaj7/C,B11b9,Am/G,C,Am/E,Fmaj7,A7/G,C/G,Am,Em,F5",advanced,cant-help-falling-in-love
125,the-beatles,"F7,D7,G,G+,G7,Gm,C,Am,C7,F",intermediate,from-me-to-you
126,rufus-wainwright,"Am7,Bmaj7,F#7,B7,Gmaj7,Dm7,D7,G,Cmaj7,F,E,Em,E7",advanced,going-to-a-town
127,radiohead,"Am/F#,Em/F#,G/F#,G,C,C/B,Am,F,Em,Bm/F#,D,E,Bm,F#",advanced,karma-police
128,paul-simon,"Em/G,D6,Bb,B7,G,Cm7,GM7,CM7,C,Am,Gm7,Em,GM9,Gm9,D#dim7,B7-9",advanced,50-ways-to-leave-your-lover
129,misc-soundtrack,"F,G/B,G,D,Db,Bm7,Cm7,C,Cmaj7,Fm,D/F#,Eb,Ab,Eb/G,C/G,Am,E,Dbmaj7,Em",novice,the-muppet-movie-rainbow-connection
130,stevie-wonder,"F#m9,Em9,C#7,G#7(b5),C#m7,C#7(#9),B13,Dmaj7,C#sus4,A13,F#m7,Emaj7,Bm7,E13",advanced,another-star
131,dolly-parton,"G,Am,Em,C",novice,jolene
132,boyce-avenue,"Am7,Fsus2,Dm,G,C,Csus2,F,Cadd11/E,Em,Am11,Gadd4/B",advanced,youre-beautiful
133,misc-traditional,"D,A,A7,E",novice,happy-birthday
134,coldplay,"A,Bb,Dm,G,C,Gm,F,Am,E,Em,D,C/E,Bm",intermediate,paradise
135,clairo,"G,F,Em,Am",novice,sofia
136,jorja-smith,"G#m7,F#6,Fm7b5,E,Emaj7,D#m,G#m,Bmaj7/F#,F#",advanced,by-any-means
137,bobby-caldwell,"F#m9,C#7+9,C#7,B7,B13,Dmaj7,A6,F#m7,G13,A7-9",advanced,what-you-wont-do-for-love
138,lonr-,"Bmaj7,Bbm7,Db7,Ab7,Ebm7,Gb7,Gbmaj7,Bbmaj7,Gb,Dbm7,E,Dbmaj7,Ab,Emaj7,E7,Db,Fm7",advanced,make-the-most
139,sade,"Gsus/Ab,Gsus,G,G7,Cm,Fm,Ab",advanced,is-it-a-crime
140,birdy,"Dm,G,C,Gsus4,F,Am,E7",intermediate,people-help-the-people
141,boston,"C#,Bb,B,F,E,Eb,G#,F#",advanced,foreplay-long-time
142,the-beatles,"D/B,G,Dsus4,C,D/C,F,D,Dsus2",intermediate,youve-got-to-hide-your-love-away
143,radiohead,"Em7b5,Gm/A,Cm,F9,Em7,F,Bb6add4,E7,G/B,F9/A,Gm/Bb,E7sus4,Gm,Dmadd9/F,Aaddb6,Gm6,B,Esus4,C,Ab,Dm/C,A,F/A,Bb,Dm,Am,E",advanced,paranoid-android
144,the-1975,"Am7,G,C,F,Am,Am9,E7",novice,somebody-else
145,paul-mccartney,"Eaug,Bm6,C#m,E7,F#,B7,C#m7,G,F#m,Emaj7,D,Bm,Bm7,Am7,B,Asus,C#dim,G#m,A,C#,F#7,D7,Em7/A,E,A7",advanced,little-lamb-dragonfly
146,ariana-grande,"A#m,B,C#min,Bsus2,D#m7,E6,E,C#m,Emaj7,F#sus4,G#m,F#",advanced,into-you
147,green-day,"A,D5,A5,Bb,Dm,Bb5,C,C5,F,C/E,F5",novice,21-guns
148,ben-platt,"F/A,Bb,Dm,Csus,Bb/F,Csus4,C,Gm,F,Am,C/C#,C/F",advanced,so-will-i
149,claudio-baglioni,"F#6,A/G,Dm7,G#dim,A7/E,E6,F,Em7,G#m7b5,E/Ab,A11,C11,E7,Am/C,G/B,G/A,Gmaj7,G,F#m,Cmaj7/E,Bm11,G/D,C7,Bm9,E7sus4/A,D,D9/F#,Bm,A/C#,G11,D11,C9,C9/E,Am/G,C,Fmaj7,D/F#,F#/Bb,A4,Dm/C,D9,D/E,G4,G/F,Bb,Dm,Fmaj7/A,C/G,F#m7b5,A11/D,G7,F#7/Bb,Am,E,Bm/A,Em,D/A,A7,C/E,Bbdim",advanced,avrai
150,richard-harris,"Ebmaj9,Fm6,Dm7,B+,Ebmaj7,Abmaj7,Cm,F,E+,Dm9,C11,Bbm,Fm7,G7-9,F7,Ab7,Ebm7,G,Gm,A7,Gm6,Db,Bm,Cmaj9,Am7,D11,Bbm6,Emaj9,F6,Bbmaj9,Eb(sus4),Cm7,Fmaj9,G9,C,Cmaj7,Fmaj7,Gb,Fm,E9,Eb,Gm7,Ab,Bb,Dm,Bbmaj7,D7,Bbdim,Bbsus4,Eb11,G7,Cm6,Fm9,Am,C7sus4,Bb6,F11",advanced,macarthur-park
151,the-troggs,"D,A,E,G",intermediate,wild-thing
152,misc-television,"A,E,C#m,B",novice,julie-and-the-phantoms-unsaid-emily
153,misc-cartoons,"G,C,Cm,F,Am,Fm,Em",novice,toy-story-2-when-she-loved-me
154,clairo,"D7,Am,G",novice,bubble-gum
155,steely-dan,"E11,A/G,E6,D/C,C11,Cm11,D7/C,F#,Ab7,Gmaj7,G,G6,E7sus4,Bm11,Fmaj13,Emaj7,D,B9,D11,Eb7-9,C,Cmaj7,Fmaj7,F#11,E9,C#11,B/F#,B11,Em11,Bmaj13,Bm/E,A,F#7,G/F,Dmaj13,Dbmaj7-5,Eb11,C#maj7-5,Cmaj7-5,Gadd9,Eb7,F11",advanced,aja
156,duncan-laurence,"Dm,G,C,Fmaj7,F,Am,Em,C/E",novice,arcade
157,leon-russell,"Am7,A,Bb,Dm,F/E,G,Eb/A,D7,G7,C,C7,Gm7,A7,Dm/F",advanced,a-song-for-you
158,misc-children,"F,G7,C",novice,twinkle-twinkle-little-star
159,jeff-buckley,"Ebmaj7(+9),F/A,Bb,Dm,C,F4,Bb/D,Ab(b5),F,Am,Dbmaj7,Gm,Ab,F/G,F5",advanced,morning-theft
160,queen,"A,Ebdim7,A7/C#,Amaj7,C#7,E+5,B7,F#m,E6,E,E7,D,A7,E7/G#,A7-5,A/C#",advanced,dreamers-ball
161,owl-city,"A,C#m#5,A5,A6/E,Eadd4,Dadd2,Amaj7/E,Asus2/E,A5/E,A/E,B7sus4,A6/F#,A6/F,A/C#,Dsus2",advanced,fireflies
162,bob-marley,"G/B,G,C,Am,Em7,Em,D",advanced,redemption-song
163,chris-bell,"Am7,G/B,Aadd9/C#,D7,Bsus2,GM7,A7sus4,G7,C,A7,Em7,D/A,G5/A,Em,D,Gm6/D,Bm",advanced,i-am-the-cosmos
