index,Artist,Chords,Label,Song
1295,lana-del-rey,"G,Dsus4,C,F,Em,D,Ebaug,Bm",novice,video-games
1296,john-mayer,"Gadd9,G,F#m,Asus,Asus4,Bm9,Em,D",intermediate,your-body-is-a-wonderland
1297,neil-young,"A,D6,G6,A7sus4,Dmaj7,Em7,D,A7",intermediate,harvest-moon
1298,misc-computer-games,"Bbm7,Dm7,Cm7,Csus4,G7,C,Gb,Fm,C7,Gm7,Eb,Bbm,Ab,BM7,Db",advanced,nier-ashes-of-dreams
1299,cyndi-lauper,"Dm,G,C,F,Am,Em",intermediate,time-after-time
1300,jacob-collier,"Ebmaj9,Dm7,Ebmaj7,Adim,Bb/Eb,Am7b5,F,Gm/C,Abdim,Abm/Db,Dmaj7sus2/F#,Cm11,Gb6/Ab,Fm7,Bbsus2/Ab,Bb/C,G,Gbmaj9,Fadd2,Gbmaj/Ab,Gm,Bbmaj,Gmadd4/F,D,Db,Abm6,Fadd9,Ebmaj/Bb,Bbmaj/Eb,Bb7sus,Bbmaj9,Ebmaj,Cm7,Cb/Db,Absus,C,Abmaj7sus2/C,Bmaj7/Eb,Gm7,Eb,Db/Gb,Gm9,Ab,Fsus/A,Ab/Bb,Bbmadd4/Ab,Amaj,Bbmaj7/C,Bbm/Ab,Dm,Gbmaj7,Gbmaj7/Ab,Am,Bbdim",advanced,all-i-need
1301,mumford-sons,"G/B,G,C,F,Am,G2,Em",novice,i-will-wait
1302,misc-soundtrack,"C6/9,Em7,F,D6,Gsus,G,Gsus2,Dsus,Bm,Cmaj9,Am7,C,Cmaj7,Fmaj7,D/F#,Em11,Dsus2,Cadd9,Em",novice,a-star-is-born-ill-never-love-again
1303,amy-macdonald,"F,Am,Em,C",novice,this-is-the-life
1304,sara-bareilles,"Bb,Dm,C,F,Dm/C,A7/C#",novice,she-used-to-be-mine
1305,wilbur-soot,"D,A,E,F#m",intermediate,internet-ruined-me
1306,lukas-nelson-promise-of-the-real,"D7sus2,Dm,D6sus2,G,G7/D,D#+,DmM7,A#6,C,Cmaj7,C#dim,Gsus2,Fdim7,A7,G7/B,G#dim7",advanced,just-outside-of-austin
1307,misc-computer-games,"Fdim/E,G/C,Fdim/C,Fdim/A,Fdim/G,G/A,Em/D#,G/B,Em/G,G,Am/G#,G/F#,G/Bb,Em/F#,D7,Fdim,Am,Am/B,Em,Fdim/B",advanced,the-legend-of-zelda-a-link-to-the-past-fairy-fountain
1308,lil-nas-x,"D,G,A,E",novice,old-town-road
1309,john-coltrane,"Em7,D7b9,EmM7,B7,E7sus4,GM7,Cm7b5,C7,B7b9,Am7,EM7,B/Eb,F6,AM7,C6,F#7sus4,F#m7b5,D7,CM7,G7,Em",advanced,my-favorite-things
1310,procol-harum,"G/F,Dm,F/E,Am/G,G,G6,C,G7,F,C/B,Am,Em,G6add11,Dm/C,Em/D",intermediate,a-whiter-shade-of-pale
1311,the-beatles,"A,G,A7sus4,F#m,Gm,Em7,D,A7,Bm",novice,across-the-universe
1312,bon-jovi,"G/B,Dm,Dm7,G,Dsus4,Esus4,C,Dm6,Am,F,G/D,E,Gsus4/A,D,Fadd9",intermediate,its-my-life
1313,queen,"A,B,Cdim,G,F#m,Gm,E,Em,D,A7,E7,Bm,F#",intermediate,love-of-my-life
1314,bruno-major,"Cm9,F7,Bbmaj7,Fmaj7,F,C7,Gm7,D#maj7,Gm9",intermediate,easily
1315,the-strokes,"C#,A#m,B,G#,G#m,D#m,F#",intermediate,automatic-stop
1316,lp,"C,Em7,Am,Em,D",novice,lost-on-you
1317,ariana-grande,"Am7,A,Gmaj7,Bbmaj7,D7,G,Dmaj7,Gm,BmMaj7,D,E7,Bm,Bm7",intermediate,almost-is-never-enough
1318,bon-iver,"Dm7,G,G(2),C,F,Am,G2",intermediate,roslyn
1319,crosby-stills-nash-young,"A,G,Asus4,D,Bm",intermediate,teach-your
1320,stevie-wonder,"A,F#9,A#,B,G,D#9,G9,F9,E9,C#9,E,C#m,D,D9,G#m,D#,Fm7,F#",advanced,sir-duke
1321,bastille,"D,G,Em,C",novice,pompeii
1322,5-seconds-of-summer,"D,G,Em,C",novice,youngblood
1323,misc-cartoons,"D#m/F#,A#m9,Dmaj7,Em7,G7sus,E7,D#13,D7/F#,D6,B6,G,G6,Gsus,G#13,A#6,F#7/A#,G#/A#,E7/G#,Gm6,E7sus,Am7,F#m6,Ddim,Cm7,D#dim,G13,D#dim7,D#m,Cm(maj7),E,Em,Emaj7,F#6,G#7,B(add9),C#maj7,F/C,E6,Dm(maj7),F7,F#7/G#,C#m7,D#m7,C7,G6/A,Cm7/G,D#/F,C#m7/B,F#7,F/A,C#7,A#m7/E#,G#/D#,Bm7/F#,G7,F#/A#,Fdim,C#6,Fm6,Cdim,Gdim7,F,C#m,F#m7,Fdim7,Am6,B7,Badd9,A7sus,Bm9,G#,D,F6,C,D#6,Gm7,G#7sus,Bdim7,D9,F/G,D#,A,F#/G#,Am,G#m6,C/E,A#,Bmaj7,Dm7,Cm,C#dim7,A#/F,D#7/G,F#/C#,F#,G#m7,A#7,G/A,Em(maj7),D#/A#,C#m7/G#,D(add9),F#9sus,C#m(maj7),A/F,A#maj7,Em/A,D#7,B,Am7/E,Cmaj7,C6,D/F#,C#dim,C#,Dm,E/G#,D7,Fm/G#,F#m7/A,A7",advanced,beauty-and-the-beast-be-our-guest
1324,aretha-franklin,"A,C#,C#7,B,F#,F#m,F,E,C#m,D/A,G#,D,Bm,D/E",intermediate,i-say-a-little-prayer
1325,the-moldy-peaches,"Cmaj7,G",novice,anyone-else-but-you
1326,pink-floyd,"A,G,C,Am,Em,D",intermediate,wish-you-were-here
1327,frank-ocean,"F/C,F,Am/D,C/B,C/F,G/B,Fsus2,G,Bb/F,F/Bb,Am/G#,C,F/G,Dsus2,Bb,C/G,Bbmaj7,Fsus2/G,Am,A7,Csus2/A",intermediate,godspeed
1328,joni-mitchell,"A,G,F#m,Asus4,Em,D",intermediate,both-sides-now
1329,barry-manilow,"Am7,C#aug,F/A,C/G,Dm,G,Cadd2,Csus4,C,Am,F,Fm,Em,G#,E7/G#,A#",advanced,somewhere-down-the-road
1330,frank-sinatra,"Dm7,Cdim,Ebmaj7,Adim,F,Faug,Ab7sus,Abdim,Gm7b5,F7,Ab7,Db6,Ebm7,D7#5,Db7,F6,C9,Cm7,C7#5,Gdim,A7#5,C,C13,Gm7,Ab,D9,G13,Ab13,F13,C7b13,Eb9,Bb,Dm,Bbmaj7,D7,Eb13,Gb13,Dbmaj7,A13",advanced,ring-a-ding-ding
0,strung-out,"C/E,F/A,Bb,Gm,F,C,Am,Dm",advanced,better-days
1,paul-mccartney,"Am7,Bb,F,E7,Am,Gm7,G#dim,F7,D7,C#,A,E,C7,G#,Eb,Abm7,Abm,C,C#7,F#m7,B7",advanced,mary-had-a-little-lamb
2,fleetwood-mac,"F,C,Am",novice,rhiannon
3,the-everly-brothers,"F#m,A,E,C,Am,Bm,D,Em,C#m,G,B7",intermediate,let-it-be-me
4,mika,"Am7,D/F#,Dsus4,C,D7,Cm7,F,A7/C#,D,Em,Dm7,D7sus4,G,G/B",intermediate,grace-kelly
5,demi-lovato,"F,G,C,Am",novice,sober
6,tom-petty-and-the-heartbreakers,"G,F,C,Am",novice,learning-to-fly
7,the-tallest-man-on-earth,"Em6,C,Am,Em,G",intermediate,love-is-all
8,billy-idol,"A,E,F#,D,B,G",intermediate,rebel-yell
9,frank-sinatra,"A9,Am7,Am,E7,Dm,Bb6,Db9,Ammaj7,Dm7b5,Bb9,Abaug,Bm7,Eb6,Fm,Ab6,Bbaug,Bdim,Am6,Bm7b5,G7,Db6,Abm6,Bb7,C7,Dbdim,Cmaj7,Eb7,Ebaug,F#7,Gaug,Bbdim,Eb,Ab,Dbm7,Gm7b5,Bbm7,G9,C6,Eb9",advanced,all-or-nothing-at-all
10,tony-bennett,"Aaug,Fm7,E9,Bb,F,E7,Emaj7,Dm,A6,Bb6,C7sus,Bbm6,Bm7,Bm,Dbm,Ab6,D,F7,Bdim,F#m,Db6,A,C7,Db7,Eb7,Adim,Bm6,Bbm7,Ab7/C,C9,Eb9,B7",advanced,all-the-things-you-are
11,james-arthur,"F#m,C#m7,A,E,Dadd9",novice,can-i-be-him
12,my-chemical-romance,"C5,A,E,B5,C,G#5,B,E5,C#m,C#5,G#m",advanced,helena
13,cloves,"C,Am,Bm,D,Em,G",advanced,everybodys-son
14,shakira,"A,F,A7,E7,Am,Dm",advanced,hay-amores
15,arctic-monkeys,"B,C,Em,Am",novice,whyd-you-only-call-me-when-youre-high
16,john-petrucci,"C5,Gm11,Ebsus2,Bb,Fsus2,Eb7#9,D7b9,Dm7,Eb/G,Em7b5,Bb/D,Bb5,Gsus2,Am7b5,Gm7,Absus2,D,D5,G5,F/A,Cm7,Gmadd9,Bbsus4,D9,Eb,C,Ebsus4,Fadd9,Cmadd9,A5",advanced,lost-without-you
17,frank-sinatra,"G,B7(#5),Bbdim7,Am11,Am7,G7/B,B7/D#,Cmaj7,D7,G/D,F#13(b9),A9/C#,Em,B+/D#,Cm/G,Gmaj7,D9sus,Bb9",advanced,blue-skies
18,the-beach-boys,"F,G7,C",intermediate,surfin-usa
19,cody-johnson,"F,C,Am,C/B,G",intermediate,nothin-on-you
20,jackson-browne,"D/A,D7/D#,A,C,Em/B,A7,D,G/D,Em,G,G/B,B7",advanced,the-pretender
21,frank-sinatra,"Fm7,Db,Eb9-5,C13-9,F/G,Fmaj7,Em7,Em7-5,Db9,C7-9,Eb11,Go,Dmaj7,Gb6,Gb7-9,Ab11,Ebm7,Eb6,Gm/D,D,Bbo,Db7-9,Em7/D,Db6,Bbm(maj7),Bb13,Ab13,B9,Db7,Amaj13,Eb7,Db/Ab,Bbm,Gb/Ab,F7-9,Dbo,Db9-5,Ab9,D9-5,Gb7,Bbm7,D13,G9,Ebmaj7,D6,C9,Ab7+5+9",advanced,luck-be-a-lady
22,apulanta,"F#m,A,E,C#m,G#,B,B7",intermediate,valot-pimeyksien-reunoilla
23,michael-jackson,"B7,C,Em,Am",novice,billie-jean
24,soundgarden,"Fm/Ab,Ab,Ab-5,D/F#,E,Abdim,F,C,Am,E7,D5,Cadd11/Bb,G",advanced,halfway-there
25,mandy-moore,"Eb,Ab,Bb,Gm,Cm,F,C,Am,Dm,Fm,Em,G",intermediate,i-see-the-light
26,maverick-city-music,"A/C#,D/F#,A,Bm7,Em7,D,Em,G",novice,most-beautiful-so-in-love
27,arctic-monkeys,"Bb,Gm,Cm,F,A7,Am,Bbm,Dm,D7",novice,only-ones-who-know
28,misc-cartoons,"Db,Bb,Abmaj7,F,Bbm/Eb,Eb/Bb,Bb/D,Dm7b5,Bb7sus4,Bb/C,Ab/C,Cm9/Bb,Am7b5,Gm,Gm7,B/C#,Ebsus4/Bb,Fm,Db/Eb,Ab/Db,Bb7,Cm7,B/Eb,Bbm,Bbsus4,Gb,B,Eb,Abm7,Ab,Ddim7/G,Eb/Db,Cm,C,D/E,Bb/Ab",advanced,one-piece-we-are
29,housefires,"A,D/F#,Bm,Em7,D,Em,G",intermediate,open-space
30,turisas,"C#,A,Bb,E,F#,C,F,D,D#,C#m,G#,B,G#m",advanced,hunting-pirates
31,mariah-carey,"Am7,Cm,C,D7,E7,B/D#,Am,Em9,D,G/D,D#,Em,Bm11,Am7-5/Eb,Gmaj7,G,B7",advanced,all-i-want-for
32,david-lee-roth,"Eb,Gb7,G,Ab,Db,Ebdim,Ebm7b5,Bb7,Bbm7,Abmaj7,Eb7,Bbm,Dbm,Ab6,F7,Eb7sus,Gb,Fdim",advanced,just-a-gigolo-i-aint-got-nobody
33,lynyrd-skynyrd,"F#m,A,E,D,G",novice,tuesdays-gone
34,the-ink-spots,"Dm7,G7,Am7,C,C/G,F,E7,A7,Em7,Dm,D,Fm,C6,E7/B,Bbdim,B7",advanced,its-a-sin-to-tell-a-lie
35,garth-brooks,"G,E,F,Am",novice,the-thunder-rolls
36,misc-television,"F#m,A,E,Cm,C,Dm,D,C#7,Em,G,B7",novice,high-school-musical-i-think-i-kinda-you-know-duet
37,jack-stauber,"Cmaj7,Am,D,Em,G",novice,oh-klahoma
38,hillsong-worship,"Cadd9,C,Dsus,Em7,D,Em,G,G/B",novice,touch-of-heaven
39,paul-kelly-and-the-coloured-girls,"Am7,C,F,Am,D,Em,G",intermediate,dumb-things
40,creedence-clearwater-revival,"A,Bb,Gm,F,C,A7,Am,Fmaj7,Dm,D,Em,G,B7",intermediate,i-put-a-spell-on-you
41,bob-dylan,"G7,A,C7,F,C,A7,Am,Bm,E7,D,D7,G",intermediate,dont-think-twice-its-all-right
42,nai-palm,"Abm7,EM7,B9sus4,Dbm9,Dbm,Ab7,Gbm9,Db9sus4,AM7,E6/B,Gbm7",advanced,homebody
43,dear-evan-hansen,"Db,A,Bb,Cm,F,C,Am,Bm,Fm,D,Dm,Em,G",intermediate,words-fail
44,the-tokens,"D,G,A",novice,the-lion-sleeps-tonight
45,misc-cartoons,"Dm7,G7,Am7,C7,C,A7,E7,Am,D,D7,G,B7",novice,cinderella-a-dream-is-a-wish-your-heart-makes
46,bee-gees,"Bb,Gm,C,F,Am,D,D7,G",intermediate,massachusetts
47,charlie-chaplin,"Adim7,Cmaj7,C,A7,Am,Dm,Fm,G6,C6",intermediate,smile
48,hillsong-united,"F,C,Am,Em7,Dm,G/C,G",novice,another-in-the-fire
49,misc-soundtrack,"G,F,Em,Am",intermediate,murder-2-phir-mohabbat
50,juan-zelada,"Eb,Bb/G,Bb,C7,C,Eb7,F,F7,D7",advanced,the-blues-remain
51,buffalo-springfield,"A,E,C,D,G",intermediate,for-what-its-worth
52,arctic-monkeys,"F#m,C,Am,B,Em,G",novice,snap-out-of-it
53,george-harrison,"C#m7,A,E,F#7,E7+5,Bm7,E7,Bm,A7+9,Dm6",advanced,all-those-years-ago
54,r-e-m-,"C,Am,Bm,D,Em,G",novice,man-on-the-moon
55,jpt-rockerz,"Cadd9,C,Csus,Em7,D,G",intermediate,basanta
56,jessica-benko,"G,Dm,C,Am",novice,a-soulmate-who-wasnt-meant-to-be
57,nick-drake,"Ddim/F,Ebdim/Gb,Bbm7,Edim/G,C,F,GM9/B,Cm7,GM7/B,G,Eb9,F7sus2/C",advanced,poor-boy
58,labrinth,"Gm,Cm,F,A#",novice,still-dont-know-my-name
59,francesco-de-gregori,"G7,A,E,F,C,A7,F#,E7,D,B,D7,G,B7",advanced,bufalo-bill
60,pink-floyd,"A,E,F,C,D,B,D/A",advanced,run-like-hell
61,bright-eyes,"C,A7,Am,D,Em,G",novice,lua
62,john-lennon,"F#m,Am7/G,G7,A,E,F,C,D7,Am,Bm,D7/F#,Dm,Fm,D,F7,Dm7,G",intermediate,watching-the-wheels
63,winger,"Am7,Gm11,Bb,Gm13,F,Dm7,Gm7,F6,Dm9,Bbadd2,C7,Dbmaj7,Csus4/D,Dbmaj9,Csus4,Eb/Db,C,Bbsus2,Ebmaj7,C9",advanced,headed-for-a-heartbreak
64,omi,"B,A,E",intermediate,cheerleader
65,andrew-bird,"EMaj7,Bb,Gm,Amaj7,F,G#dim,C,Am,F#dim,Dm,F7,Amaj,AMaj7",advanced,roma-fade
66,ylvis,"A9,Eb9sus4,Gbmaj7/Ab,Abmaj7,E7,Emaj7,Em7,Dm7,Bmaj7,Amaj7,Dmaj7,Dma7,Bm7,G#7#5#9,F7#11,F9,Gmaj7,C#m7,Dbmaj7,Db7,F#7,Cmaj7,Cm7,F#9sus4,Dmaj7/E,Abm7,D7#5,Bbm7,D7#11,D#m7,G#7b9,C#7,F#9,G#7#5,Bmin7",advanced,the-cabin
67,billie-eilish,"Am/C,A,C,Am,Bm,Em,B,B7",novice,copycat
68,portishead,"Bm7-5,Dm7/C,Dm/C,Dm,Bbmaj7",intermediate,glory-box
69,colter-wall,"Dm,G,C,Am",novice,kate-mccannon
70,adam-green,"C#,A,F#,C#m,G#,B,G#m",advanced,fix-my-blues
71,sufjan-stevens,"Am7,F,C,Am,F6sus2,Em,C/G,E/C,G",intermediate,no-shade-in-the-shadow-of-the-cross
72,the-white-buffalo,"F,C,Am,Dm,Em,G",novice,come-join-the-murder
73,the-daughters-of-eve,"Bm,D,G,A",intermediate,hey-lover
74,ariana-grande,"Eb,Db,Cm6,Bb,Gm,Dbmaj7,Bb6/Eb,F,Ebmaj9,F7,Ab7,D7,Ebsus4/Gb,Gm/F,C9,Am6",advanced,jasons-song-gave-it-away
75,sonu-nigam,"Gm7,F,C,Am9,Dm7,G",intermediate,kal-ho-na-ho
76,pnk,"Gadd9,F,C,Am,Dm,G",intermediate,walk-me-home
77,johnny-cash,"C,Am,D,Em,G",intermediate,solitary-man
78,john-mayer,"F#m,D#dim7,E9,A,E,F#,A7,Bm,Dm,D,C#m,B7",intermediate,im-gonna-find-another-you
79,ruel,"Db,Dbm6,Ab,Dbm6/9,Ebm/Ab,Ebm7/Ab,Bb,Dbmaj7,C,Dbm,Ab7,Fm,Dm7b5",intermediate,as-long-as-you-care
80,neil-young,"Am7,C,F,Am,Fmaj7,Em7,Em,G",novice,my-my-hey-hey-out-of-the-blue
81,stevie-wonder,"Db,Aaug/Eb,F,Am,Fmaj7,Dm,Dm7,Bb/C,Dmmaj7,D,F7,F9,G7,Fmaj7/A,E,Bbmaj7,Eb,Dm6/A,Cm,C,Ebmaj7",intermediate,dont-you-worry-bout-a-thing
82,paul-mccartney,"A/C#,F,E7,Fmaj7,A6,Dm7,E7sus,D,F6,E6,Esus,G,F#m,Am/C,A,E,F#m7,Dadd9,C,D/E,A7/G,Fadd9,Asus,G/B",advanced,beautiful-night
83,gungor,"Daug,C#,A,G6/9,F#,Bm7,D,B,A11,Asus2,G",advanced,beautiful-things
84,neil-young,"A,C,D,Em,E5,D5,G",novice,rockin-in-the-free-world
85,adam-levine,"C,F,Fmaj7,Dm,D,Gsus4,Em,G",intermediate,lost-stars
87,eric-church,"C9,C,D,Em,EM,G",intermediate,drink-in-my-hand
88,duran-duran,"Esus2,Dsus2,A/C#,C#m7,E,G#m7,F#7,F#m7b5/C,F#,B,D#7,C#m,F#m7,F#sus4,C#m6",intermediate,ordinary-world
89,atlas,"Db,Fm,Ab,Bbm",advanced,cheat-day
90,planxty,"F,C,Am,Dm,Dm7,G",advanced,the-west-coast-of-clare
91,phoebe-bridgers,"F#m,A,E,Gm,Dmaj7,F,E7,Bm,Fm,D,G",novice,savior-complex
92,bob-seger-and-the-silver-bullet-band,"C,Am,Bm,D,Em,G",novice,against-the-wind
94,niall-horan,"E,F,C,Am,E7,G",novice,slow-hands
95,first-aid-kit,"G7,C,F,Am,Fmaj7,Em,C/G,G",novice,emmylou
96,makeout-videotape,"Gm7,Emaj7,Ebmaj,Ebmaj7,Dm7,Bbmaj7",advanced,joe-buck
97,don-moen,"C/E,Bb,Gm,Fsus,F,C,A7,Dsus4,Dsus,Csus,Dm,D,Am,Em,G,B7",advanced,i-offer-my-life
98,ariana-grande,"Am7,C7,C,E7,Fmaj7",novice,thank-u-next
99,hayd,"Eb,F/A,Bb,Gm,Gm7,Eb6",advanced,i-fall-apart
100,john-mayer,"E7sus4/B,Gm11,D/F#,A7/D,Gm/D,E7,Bm,Em7,D,D9,D6,Em7/A,A13",intermediate,daughters
101,eric-clapton,"G7,A,B9,C,F,A7,E7,F#dim,Dm,F#dim7,D7",novice,nobody-knows-you-when-youre-down-and-out
102,arctic-monkeys,"Am,Dm,Em,G,B7",intermediate,too-much-to-ask
103,stevie-wonder,"G#7/Eb,A6/B,F#/G#,A6,C#m,Caug/G#,Am6/D,E/D,Cdim,G#/C,Gmaj7,Am6,Esus4,C#,E,F#7,E/B,F#m7/B,Esus4/D,F#6,Bm6/G#,C#m6/A#,E6/A,F#m/B,Esus2/C#,F#m7,E6/B",advanced,all-in-love-is-fair
104,queen,"A,F,C,D,G",novice,under-pressure
105,sara-bareilles,"C/E,F/A,Bb,C/A,F,C,C/G,Cmaj7,Am,C/B,Dm,Cmaj7/E,G,G/B",novice,gravity
106,udo-lindenberg,"Eb,Ab,Bb,Gm,E,Cm,F,D",advanced,cello
107,boyfriends,"Eb,Ab,C#,Bbm/Ab,C,Am,Bm,Bbm,Fm,D,Em,Am/G,G",advanced,bakit-labis-kitang-mahal
108,briston-maroney,"F#m,A,E,Gm,Bb,C,Emaj7,A6,C#m,B,G#m,B7",novice,freakin-out-on-the-interstate
109,the-beatles,"Adim7,Am7,Bb,F,F#7+9,E7/B,G#m7,Gm,Gm7,Cdim7,F6,F9,C#7/G#,G#aug,Daug,G7,C7,Bbm,D9,C,F#dim7,Caug,C9",advanced,till-there-was-you
110,misc-cartoons,"A,F,C,Am,Bm,D,G",novice,the-lion-king-can-you-feel-the-love-tonight
111,the-ink-spots,"Dm7,A9,Adim,Am7,Ebaug,Abdim,A7,Bm7,E7,Em7,Em9,G6,Eaug,D7,Gmaj7,Bdim,Am6",advanced,address-unknown
112,the-crusaders,"Fm7,Eb9sus4,Eb7/G,Cb/Db,Db/Gb,Abmaj7,Emaj7,Fmaj7,Dm7,Eb7sus4,E9sus4,Dm7b5,Bmaj7,Bb/C,Amaj7,Ab/Gb,Bm7,F7,Db/Eb,C7#5#9,C#m7,Gbmaj7,Bb13,C7,Dbmaj7,Eb7,Cm7,F#9sus4,Db9sus4,F7#9,Ebm6/Gb,Abm7,C7/E,Dbm6/Fb,Bb9sus4,F7sus4,Gm7b5,Bbm7,B7/D#,B7,D/E,Ebm/Gb,Bb/Ab,Bb7#5",advanced,street-life
113,ariana-grande,"E,F,E7,Am,Dm",novice,7-rings
114,nina-simone,"Gm11,Gm6,Bb6,Cm9,Gm,Go,Gm7,Eb6,F7,F6,D7,Bb6sus2,D7b5,G7,C7,Cm7,D7sus4,Bbmaj7,Gbdim,Adim,Cm6,F7sus4,Cm11,G7sus,Ab7,Ebmaj7",advanced,the-look-of-love
115,chris-cornell,"F#m,A,E,D,B7",novice,patience
116,lana-del-rey,"F,C,Am,E7,Em,G",novice,happiness-is-a-butterfly
117,gary-valenciano,"Eb,Ab,C#,Bb,Gm,Cm,C,F,Am,Fm,Dm,D,Em,G",advanced,di-bale-na-lang
118,sheryl-crow,"A/C#,E7b9,A7,E7,Am,Fmaj7,Dm,Em7,A7(#5),Am9,Dm7,E7sus,E7(#9#5),E7(b9),Bb9,Cmaj9,A13(b9),E7(b9#5),F6,C/G,E5,Dm9,Fmaj9,E7(#5),Asus4sus2,Bb9(b5),C6,Dm/A,Asus,G/B",advanced,we-do-what-we-can
119,chicago,"Fm7,Db,Am7,D/F#,Bb,Abdim,F,E7,Am,Em7,Dm,Dm7,Bm7,D,F7,G,F#m,A,E,Cm7,Bbsus4,B,Eb,Ab,Cm,C,Em,G/B",advanced,remember-the-feeling
120,vanessa-carlton,"Cadd9,Am7,Dsus2/F#,D,Em,G",intermediate,a-thousand-miles
121,ed-sheeran,"C,D,G,Em",novice,i-dont-care
122,the-beatles,"Am7,Cmaj7,C,Am,Bm,E7,Dm,Em,D7,G,B7",intermediate,im-only-sleeping
123,toto,"F#m,A,C,F#m/E,Bm,D,Em,C#m,G",novice,africa
124,dan-shay,"Bb,F,C,Am,E7,Fm",novice,i-should-probably-go-to-bed
125,chris-isaak,"D,G,Am",novice,wicked-game
126,elvis-presley,"D/F#,A,C,Am,C/B,D,Em,G",novice,always-on-my-mind
127,shawn-mendes,"C,G/F#,D,Em,G,B7",novice,never-be-alone
128,ella-fitzgerald,"Gdim,E9,Gdim7,Edim7,Dm6,Amaj7,Dmaj7,Bm7,Edim,A#maj7,Fdim7,F#aug,Bdim,F#m,C#m7,A,E,F#,Ddim,B7sus4,E7sus4,A7sus4,C#7,B+9,D6,F#m7",advanced,bewitched-bothered-and-bewildered
129,ben-platt,"F/A,Csus4,Bb,Gm7,C,F",intermediate,bad-habit
130,marc-anthony,"Am7,C#7b9,B7(b9),Bsus,N.C.,Emaj7,E7,Am,G#m11,E7(b9),F#m11,G#m7,Amaj7,Bm7,D,F9,G,Am6,F#m,G7,F#7/A#,A,E,B7sus4,B,G#m7(b5),C#dim7,C,C#7,Em,F#m7,G/B,B7",advanced,preciosa
131,the-doobie-brothers,"Gm7,C,D7,Cm7,D,D#,Dm7,G",intermediate,long-train-runnin
132,tim-mcgraw,"Am7,C,Bm7,D,G",intermediate,dont-take-the-girl
133,the-zombies,"Am7,A,F,C,Am,E7,Dm,D,Em",intermediate,shes-not-there
134,arijit-singh,"A,Bb,Gm,C,Am,Dm",intermediate,ae-dil-hai-mushkil
135,burl-ives,"F,G,C",intermediate,big-rock-candy-mountain
136,the-wonder-years,"F#m,A,E,Dm,D,C#m,B,G#m",advanced,i-dont-like-who-i-was-then
137,schandmaul,"G5,Eb,Gm9/F,Gm9,Amaj7/C#,Gm,Bb,Cm,F,C,Am,Dm,F6,Ebmaj7,G/B",advanced,tjark-evers
138,bethel-live,"C/E,D/F#,C,Am,D,Em,D2,G,G/B",novice,champion
139,master-kg,"F,G,C,Am",novice,jerusalema
140,side-a,"B2,Bsus,E7,Am,C#m,D,F#m,G5,A,E,F#,Bbm,B7sus,B,Abm,C,A2,Em,B7",advanced,forevermore
141,sting,"A9,Am7,D/F#,B7+/G#,Em7,B7+,Dm7,F#7+9,Cadd9,Dsus4,Bm7,D,F9,G,Asus4,A,Cmaj7,F#m7-5,Dsus2,F#9,Em,C9,G/B",advanced,i-was-brought-to-my-senses
142,billy-joel,"G7,Csus4,Gm,F#7,C,Am,Bm,D,Em,D7,G",intermediate,shes-got-a-way
143,bette-midler,"Gsus,F,C,Am,Em,Dm7,G",novice,the-rose
144,mitchell-tenpenny,"Am7,C,Fadd9,G6sus4/C,Gadd11,Cmaj7sus2/B",advanced,drunk-me
145,soda-stereo,"F#m,A,E,B5,C,D,Em,G",advanced,hombre-al-agua
146,james-taylor,"Cmaj9,G,C#m7,A,E,F#7#5,G/A,A7,A/B,Bm7,Em7,Dmaj9,D,F#m7,B7",advanced,little-more-time-with-you
147,sir-chloe,"C#,A,E,F#,Am,C#m,G#",intermediate,too-close
148,jason-isbell,"Am7/G,C,Am,C/B,Fmaj7",intermediate,alabama-pines
149,taylor-swift,"D/F#,C,Em7,D,Em,G,G/B",novice,begin-again
150,aimee-mann,"Dsus2,C#m7,A,G#m7,E,F#,Dm7sus2,Badd4,D,Asus2,F#m7",advanced,4th-of-july
151,nancy-wilson,"Fm7,Am7,Bb,A7,E7,Dm7,Bmaj7,Amaj7,Gm7,Ebm7,Bm7,F7,D7,G7,C7,Bb7,Dbmaj7,Db7,Cmaj7,Cm7,Bbmaj7,Gb7,Dbm7,Bbm7,Ab7,B7",advanced,guess-who-i-saw-today
152,petra,"C#,Bb,Gm,Cm,F,Bbm,Fm,Dm,D#",advanced,road-to-zion
153,la-triple-nelson,"G5,Bb5,D9#5,Gm9,Am7b5,Gm7,Cm7,F7,Ebmaj7,D7,D5,Bbmaj7,F#5,Cm7add13,A5",advanced,la-casa-de-al-lado
154,niall-horan,"Eb,Bb,Gm,Bb/A,F,Cm,Ebm",intermediate,put-a-little-love-on-me
155,george-harrison,"F#m,A,E,Asus,E/G#,D,Asus2,C#m,G",advanced,faster
156,the-fray,"C,D,G,Em",novice,how-to-save-a-life
157,james-taylor,"C,Am,D,Em,D11,G",intermediate,how-sweet-it-is
158,caamp,"Cadd9,G",intermediate,vagabond
159,aaliyah,"Bm7add11,Dm6/9,C#7-13,C#7-9/E#,Dmaj7+11,G#7+9,Bm13,G#7-13,C6/9,Amaj7,Bmadd4,C#aug,F#m,Bm7-5,Amaj9/E,Aadd9/C#,C#7-9,Bm9,C#7+9,Dmaj7sus2,F#m9,F#m7",advanced,age-aint-nothing-but-a-number
160,the-lost-fingers,"C#9,E9,F#m6,G#m6,Bm6,C#7,D,A6,D7,Fdim",advanced,billie-jean-acoustic
