index,tempo,duration_m,time_signature,energy,n_unique_chords,n_difficult_chords,chord_per_min
282,103.477,3.005333333333333,4.0,0.47,11,5,26.286601597160605
283,92.717,4.93155,4.0,0.373,9,1,36.09412862081901
284,109.012,3.6788833333333333,4.0,0.843,3,0,12.7756157892114
285,91.795,3.302216666666667,4.0,0.237,21,15,23.31767045368515
286,92.528,4.91885,4.0,0.93,9,2,12.604572206918284
287,131.935,2.863783333333333,4.0,0.277,6,1,34.56965436165446
288,82.433,8.047166666666666,4.0,0.34,14,9,24.48066607294493
289,114.078,5.395783333333333,4.0,0.591,3,0,14.641062311002111
290,73.336,3.54445,4.0,0.261,8,2,29.905909238386776
291,141.533,3.827433333333333,4.0,0.875,12,9,27.69479982233525
292,173.365,4.446216666666667,4.0,0.661,5,0,13.7195293376766
293,73.877,3.24755,4.0,0.377,8,6,25.249803698172467
294,199.853,3.596883333333333,4.0,0.466,6,2,18.07120053008855
295,160.075,5.72355,4.0,0.846,25,15,23.412043224921593
296,71.872,7.0719666666666665,4.0,0.108,26,22,17.25121253399573
297,115.102,4.3515500000000005,4.0,0.753,5,0,8.502717422527605
298,152.279,4.287483333333333,4.0,0.829,6,3,18.65896466069839
299,89.977,3.0288833333333334,4.0,0.69,5,0,29.71392097197537
300,139.942,4.995116666666666,4.0,0.699,33,24,19.819356905244124
301,165.212,2.9587166666666667,4.0,0.599,6,0,25.348828039183655
302,135.007,4.352566666666666,4.0,0.834,4,0,30.326933533470676
303,137.382,2.2375499999999997,4.0,0.939,10,5,46.926325668700144
304,178.082,4.66445,4.0,0.978,10,6,31.943744707307395
305,82.001,3.9886166666666667,4.0,0.485,6,1,37.35630983172946
306,117.399,3.45445,4.0,0.912,8,5,69.76508561420776
307,93.992,2.4191166666666666,4.0,0.784,5,0,40.51065471556422
308,204.263,4.156000000000001,4.0,0.454,5,2,31.52069297401347
309,93.012,4.581883333333334,4.0,0.901,53,43,42.99542036935321
310,160.109,2.8991166666666666,4.0,0.801,8,5,26.55981419627818
311,132.316,2.4215500000000003,4.0,0.803,9,2,28.494146311246926
312,123.896,4.483866666666667,4.0,0.654,6,0,19.179874513069077
313,94.51,2.25245,4.0,0.172,3,0,47.05986814357699
314,118.001,2.3938333333333333,3.0,0.242,21,19,22.97570145512776
315,131.566,3.62895,4.0,0.958,8,0,24.80056214607531
316,142.417,6.706883333333334,3.0,0.692,15,7,23.557887046392636
317,79.059,4.420216666666667,4.0,0.772,9,5,22.17085889454891
318,86.26,5.095783333333333,3.0,0.412,5,0,14.521810516538183
319,102.039,3.2962166666666666,4.0,0.188,7,1,30.641189646716185
320,79.241,3.1166666666666667,4.0,0.338,10,3,31.122994652406415
321,78.828,4.8776,4.0,0.606,11,11,16.60652780055765
322,135.021,3.972666666666667,4.0,0.889,6,0,29.451250209766737
323,162.005,3.2508833333333333,4.0,0.782,9,4,53.83152271433918
324,184.298,3.346883333333333,4.0,0.0851,5,0,13.445344673900596
325,119.972,5.67845,4.0,0.595,8,1,12.679516417332195
326,137.715,4.460883333333333,3.0,0.563,7,2,15.691959365297606
327,67.836,5.011383333333333,4.0,0.334,6,0,16.56229317919537
328,124.009,5.710216666666667,4.0,0.483,4,0,13.834851567220158
329,82.885,4.671566666666666,4.0,0.39,19,7,38.102849151248336
330,135.008,5.832216666666667,1.0,0.414,23,19,31.034512320930006
331,130.159,6.683333333333334,3.0,0.157,21,17,21.845386533665835
332,148.93,3.1831166666666664,4.0,0.697,11,4,28.588333237340763
333,133.574,3.6895499999999997,4.0,0.228,7,2,15.99111002696806
334,134.15,4.033333333333333,5.0,0.361,9,4,24.545454545454547
335,85.794,4.141116666666667,4.0,0.28,5,1,19.80142232167652
336,176.024,3.5294666666666665,4.0,0.797,6,5,32.01616863737675
337,132.234,3.369333333333333,4.0,0.24,42,37,46.89354966363277
338,97.113,5.917783333333333,4.0,0.657,8,1,21.798702780038695
339,96.091,3.026216666666667,4.0,0.586,5,0,44.27971119054044
340,124.891,3.848883333333333,4.0,0.461,15,11,48.06588924060225
341,124.984,14.308883333333334,4.0,0.592,39,29,23.691576211980202
342,99.693,4.324,4.0,0.402,7,0,20.814061054579096
343,94.03,3.08845,4.0,0.436,6,0,23.3126649290097
344,100.261,3.864733333333333,4.0,0.556,5,3,23.287505821876458
345,79.025,3.9602166666666667,4.0,0.526,7,3,17.423289129803504
346,140.015,8.57775,4.0,0.562,8,4,9.559616449535135
347,132.899,4.4235500000000005,4.0,0.872,11,7,25.31903109493506
348,133.32,2.3522166666666666,4.0,0.00756,14,13,20.83141433966542
349,110.061,4.861433333333333,4.0,0.606,32,32,18.307357912275528
350,149.788,2.50775,4.0,0.82,27,18,64.2009769713887
351,136.058,6.68445,4.0,0.435,22,18,30.817793535743405
352,87.486,3.457333333333333,3.0,0.0683,26,25,26.61010412649441
353,93.607,5.288883333333334,4.0,0.696,9,1,16.260521282060168
354,150.056,5.14445,4.0,0.802,4,0,20.6047293685428
355,104.98,4.760883333333334,4.0,0.814,11,6,23.9451362317217
